lat,long,elev,name,Year,Temp,tooltip
-30.32,153.12,3.5,COFFS HARBOUR,2019,26.8543,<strong> Temperature in COFFS HARBOUR </strong>is<strong> 26.8543 C</strong>
-31.43,152.87,4.2,PORT MACQUARIE,2019,27.46291,<strong> Temperature in PORT MACQUARIE </strong>is<strong> 27.46291 C</strong>
-32.79,151.84,7.5,WILLIAMTOWN,2019,27.84503,<strong> Temperature in WILLIAMTOWN </strong>is<strong> 27.84503 C</strong>
-32.03,150.83,221.4,SCONE,2019,29.76291,<strong> Temperature in SCONE </strong>is<strong> 29.76291 C</strong>
-33.43,149.56,713,BATHURS TAGRICULTURAL STATION,2019,25.40616,<strong> Temperature in BATHURS TAGRICULTURAL STATION </strong>is<strong> 25.40616 C</strong>
-32.22,148.58,284,DUBBO,2019,30.44521,<strong> Temperature in DUBBO </strong>is<strong> 30.44521 C</strong>
-33.86,151.21,39,SYDNEY (OBSERVATORYHILL),2019,26.23311,<strong> Temperature in SYDNEY (OBSERVATORYHILL) </strong>is<strong> 26.23311 C</strong>
-33.6,150.78,19,RICHMOND,2019,28.08013,<strong> Temperature in RICHMOND </strong>is<strong> 28.08013 C</strong>
-34.95,150.54,109,NOWRARAN,2019,25.78609,<strong> Temperature in NOWRARAN </strong>is<strong> 25.78609 C</strong>
-35.09,150.8,85,POINT PERPENDICULAR,2019,23.41126,<strong> Temperature in POINT PERPENDICULAR </strong>is<strong> 23.41126 C</strong>
-35.91,150.15,17,MORUYAHEADS,2019,23.01722,<strong> Temperature in MORUYAHEADS </strong>is<strong> 23.01722 C</strong>
-35.31,149.2,577.1,CANBERRA AIRPORT,2019,25.72053,<strong> Temperature in CANBERRA AIRPORT </strong>is<strong> 25.72053 C</strong>
-35.16,147.46,212,WAGGA WAGGA,2019,28.01788,<strong> Temperature in WAGGA WAGGA </strong>is<strong> 28.01788 C</strong>
-35.94,148.38,1482.4,CABRAMURRA,2019,17.054305,<strong> Temperature in CABRAMURRA </strong>is<strong> 17.054305 C</strong>
-35.56,144.95,94,DENILIQUIN,2019,28.61391,<strong> Temperature in DENILIQUIN </strong>is<strong> 28.61391 C</strong>
-34.24,142.09,50,MILDURA,2019,29.31656,<strong> Temperature in MILDURA </strong>is<strong> 29.31656 C</strong>
-36.31,141.65,138.9,NHILL,2019,26.71333,<strong> Temperature in NHILL </strong>is<strong> 26.71333 C</strong>
-35.72,143.92,77.7,KERANG,2019,28.6396,<strong> Temperature in KERANG </strong>is<strong> 28.6396 C</strong>
-36.1,146.51,175,RUTHERGLEN,2019,27.84106,<strong> Temperature in RUTHERGLEN </strong>is<strong> 27.84106 C</strong>
-37.57,149.92,15.2,GABOISLAND LIGHTHOUSE,2019,21.31656,<strong> Temperature in GABOISLAND LIGHTHOUSE </strong>is<strong> 21.31656 C</strong>
-37.69,148.47,62.7,ORBOST,2019,23.73597,<strong> Temperature in ORBOST </strong>is<strong> 23.73597 C</strong>
-38.12,147.13,4.6,EASTSALE,2019,24.17616,<strong> Temperature in EASTSALE </strong>is<strong> 24.17616 C</strong>
-39.13,146.42,95,WILSONS PROMONTORY LIGHTHOUSE,2019,20.08462,<strong> Temperature in WILSONS PROMONTORY LIGHTHOUSE </strong>is<strong> 20.08462 C</strong>
-37.83,144.98,7.5,MELBOURNE(OLYMPICPARK),2019,23.7702,<strong> Temperature in MELBOURNE(OLYMPICPARK) </strong>is<strong> 23.7702 C</strong>
-37.86,144.76,20.1,LAVERTON,2019,24.05364,<strong> Temperature in LAVERTON </strong>is<strong> 24.05364 C</strong>
-38.86,143.51,82,CAPE OTWAY LIGHTHOUSE,2019,19.96887,<strong> Temperature in CAPE OTWAY LIGHTHOUSE </strong>is<strong> 19.96887 C</strong>
-41.05,146.79,3,LOWHEAD,2019,19.146,<strong> Temperature in LOWHEAD </strong>is<strong> 19.146 C</strong>
-41.55,147.22,166.9,LAUNCESTONAIRPORT,2019,21.252,<strong> Temperature in LAUNCESTONAIRPORT </strong>is<strong> 21.252 C</strong>
-40.99,148.35,19.7,LARAPUNA(EDDYSTONEPOINT),2019,21.17533,<strong> Temperature in LARAPUNA(EDDYSTONEPOINT) </strong>is<strong> 21.17533 C</strong>
-43.49,147.15,55,CAPEBRUNY LIGHTHOUSE,2019,18.34,<strong> Temperature in CAPEBRUNY LIGHTHOUSE </strong>is<strong> 18.34 C</strong>
-42.89,147.33,50.5,HOBART(ELLERSLIEROAD),2019,21.136,<strong> Temperature in HOBART(ELLERSLIEROAD) </strong>is<strong> 21.136 C</strong>
-42.99,147.07,65,GROVE(RESEARCHSTATION),2019,20.862,<strong> Temperature in GROVE(RESEARCHSTATION) </strong>is<strong> 20.862 C</strong>
-42.28,146.28,667,BUTLERS GORGE,2019,16.05252,<strong> Temperature in BUTLERS GORGE </strong>is<strong> 16.05252 C</strong>
